     LAMBDA/A ,    dlambda/A ,      Q/A**-1 ,     t_nom/ns ,     t_act/ns ,   countscale ,phase_deg_perA1 ,phase_deg_perA2 ,      solmain1,         fpi21,           fpi,         fpi22,   solsample_z,       solpi21,      solpi21a,     solpi22.3,       solpic1,       solpic2,        Q_coil,     solmain1s,          none,         cc1r1,       loop0yh,         cc3r1,        loop0z,     solphase1,     solphase2,   solanalyzer,      solguide,         cc1y1,         cc1y2,         cc3y1,         cc3y2,         cc1z1,         cc1z2,         cc3z1,    solphase1s,     solmain1h,    solsample1,        loop1z,        loop1y,        loop2z,        loop2y,        solaux,  solphase1ccx,  solphase1ccy,         mophi,       mogamma,        mobeta,         mopsi,          mo_z,         moana,      mo_cc31a,      mo_cc31b,      mo_cc21a,      mo_cc21b,      mo_cc11a,      mo_cc11b,      mo_cc32a,      mo_cc32b,      mo_cc22a,      mo_cc22b,      mo_cc12a,      mo_cc12b,      selector,          J/Tm,          mode,       epoch/s
     Lambda/A ,    dlambda/A ,      Q/A**-1 ,     t_nom/ns ,     t_act/ns ,   countscale ,phase_deg_perA1 ,phase_deg_perA2 ,     pow01: main,     pow02: pi21,     pow03: pi  ,     pow04: pi22,          pow05,          pow06,          pow07,          pow08,          pow09,         pow10,         pow11,         pow12,         pow13,         pow16,         pow17,         pow18,         pow19,    pow20: pha1,         pow21,         pow22,         pow23,         pow24,         pow25,         pow26,         pow27,         pow28,         pow29,         pow30,         pow32,         pow33,         pow34,         pow35,         pow36,         pow37,         pow38,          dum1,          dum2,          dum3,         mophi,       mogamma,        mobeta,         mopsi,          mo_z,         moana,      mo_cc31a,      mo_cc31b,      mo_cc21a,      mo_cc21b,      mo_cc11a,      mo_cc11b,      mo_cc32a,      mo_cc32b,      mo_cc22a,      mo_cc22b,      mo_cc12a,      mo_cc12b,      selector,          J/Tm,          mode,       epoch/s
             6,       0.24492,          0.06,          0.49,     0.4900204,       9.98813,     -1591.164,             0,       1.50173,    -0.3268022,    -0.4798631,    -0.5619499,       1.72499,      1.134722,      -1.56258,    -0.6468284,             0,            -0,             0,             0,             0,     0.4335553,   -0.01814337,     0.2517707,             0,    -0.6990661,             0,             9,            -5,    -0.0781691,    -0.0781691,    0.02595303,    0.02595303,    0.08851452,    0.08851452, -0.0003242224,             0,             0,      2.407114,     -7.789785,    0.03043685,      9.269409,       2.12332,             0,    -0.5115952,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,    0.01219163,             1,    1775116402 
             6,       0.24492,          0.06,          0.65,     0.6500219,       9.98768,     -1591.164,             0,      2.034357,    -0.3268015,    -0.4798805,    -0.5619502,      1.726879,      1.138138,     -1.530202,    -0.6464865,             0,            -0,             0,             0,             0,     0.6170446,   -0.01789228,     0.3667571,             0,    -0.6963014,             0,             9,            -5,   -0.08105587,   -0.08105587,    0.02820498,    0.02820498,    0.08833248,    0.08833248, -0.0004301498,             0,             0,      2.406003,     -7.800667,     0.0429092,      9.278106,      2.108091,             0,    -0.7281126,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,    0.01617245,             1,    1775116417 
             6,       0.24492,          0.06,          0.86,     0.8600251,        9.9869,     -1591.164,             0,      2.733187,    -0.3268005,    -0.4799034,    -0.5619506,       1.72936,      1.142628,     -1.487463,    -0.6460378,             0,            -0,             0,             0,             0,     0.8829454,   -0.01754002,     0.5302685,             0,    -0.6922229,             0,             9,            -5,   -0.06728617,   -0.06728617,     0.0243317,     0.0243317,    0.09133684,    0.09133684, -0.0005692009,             0,             0,      2.404485,     -7.816139,    0.06263523,      9.290486,      2.089134,             0,     -1.041876,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,     0.0213973,             1,    1775116434 
             6,       0.24492,          0.06,           1.1,      1.100029,       9.98574,     -1591.164,             0,      3.531731,    -0.3267993,    -0.4799296,    -0.5619511,      1.732199,      1.147766,     -1.438364,    -0.6455248,             0,            -0,             0,             0,             0,       1.19172,   -0.01711265,     0.7299621,             0,     -0.687771,             0,             9,            -5,   -0.06724646,   -0.06724646,    0.02718745,    0.02718745,    0.08991325,    0.08991325, -0.0007281378,             0,             0,      2.402735,     -7.835019,    0.08452075,      9.305606,      2.064022,             0,      -1.40623,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,    0.02736857,             1,    1775116451 
             6,       0.24492,          0.06,           1.5,      1.500037,       9.98317,     -1591.164,             0,      4.862428,    -0.3267971,    -0.4799732,     -0.561952,      1.736934,       1.15635,     -1.355777,    -0.6446697,             0,            -0,             0,             0,             0,       1.70193,   -0.01632976,      1.100623,             0,    -0.6797688,             0,             9,            -5,   -0.06989951,   -0.06989951,    0.02839918,    0.02839918,    0.08651964,    0.08651964, -0.0009930617,             0,             0,      2.399831,     -7.870009,     0.1262424,      9.333661,      2.019882,             0,     -2.008277,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,    0.03732071,             1,    1775116470 
             6,       0.24492,          0.06,             2,      2.000048,       9.97886,     -1591.164,             0,      6.525504,    -0.3267942,    -0.4800278,    -0.5619533,      1.742858,        1.1671,     -1.251808,    -0.6436015,             0,            -0,             0,             0,             0,      2.351161,   -0.01528192,      1.600937,             0,    -0.6682099,             0,             9,            -5,   -0.06925222,   -0.06925222,    0.02935737,    0.02935737,    0.08801686,    0.08801686,  -0.001324252,             0,             0,      2.396176,     -7.917203,     0.1826806,      9.371531,      1.961561,             0,      -2.77437,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,    0.04976091,             1,    1775116491 
             6,       0.24492,          0.06,           2.7,      2.700064,       9.97076,     -1591.164,             0,      8.853682,      -0.32679,    -0.4801045,    -0.5619551,      1.751173,      1.182151,     -1.106171,    -0.6421047,             0,            -0,             0,             0,             0,      3.271328,   -0.01380646,      2.305685,             0,    -0.6537128,             0,             9,            -5,   -0.07580144,   -0.07580144,    0.03526186,    0.03526186,    0.07685778,    0.07685778,  -0.001787959,             0,             0,      2.391025,     -7.983682,     0.2608622,      9.424879,      1.878089,             0,     -3.860167,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,     0.0671772,             1,    1775116512 
             6,       0.24492,          0.06,           3.6,      3.600085,       9.95681,     -1591.164,             0,      11.84681,    -0.3267843,    -0.4802034,    -0.5619575,       1.76189,      1.201526,    -0.9180758,    -0.6401802,             0,            -0,             0,             0,             0,      4.450013,   -0.01183097,       3.25427,             0,    -0.6345631,             0,             9,            -5,   -0.06481875,   -0.06481875,    0.03101689,    0.03101689,    0.06948815,    0.06948815,  -0.002384196,             0,             0,      2.384413,     -8.073114,     0.3695227,      9.496675,      1.770679,             0,     -5.251016,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,    0.08956958,             1,    1775116536 
             6,       0.24492,          0.06,           4.8,      4.800112,       9.93206,     -1591.164,             0,      15.83753,    -0.3267766,    -0.4803357,    -0.5619607,      1.776231,      1.227378,     -0.666484,    -0.6376105,             0,            -0,             0,             0,             0,       5.99833,  -0.009121092,      4.558708,             0,    -0.6134831,             0,             9,            -5,   -0.07477336,   -0.07477336,    0.03772781,    0.03772781,    0.06809686,    0.06809686,  -0.003179226,             0,             0,      2.375633,     -8.196042,     0.5152918,      9.595381,      1.619988,             0,     -7.078029,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,     0.1194261,             1,    1775116561 
