# hw_max        wp      LLH     HLH     ref     LLSwide     LLSnarrow   HLSnarrow       HLSwide
3.950 0.000 -2.014 +1.936 -2.014 -2.014 -1.000 +0.400 +0.400
3.920 0.000 -1.906 +2.014 -1.906 -1.906 -1.000 +0.400 +0.400
3.979 0.000 -1.861 +2.118 -1.861 -1.861 -1.000 +0.400 +0.400
3.794 0.000 -1.923 +1.871 -1.923 -1.923 -1.000 +0.400 +0.400
3.796 0.000 -1.661 +2.135 -1.661 -1.661 -1.000 +0.400 +0.400
3.824 0.000 -1.631 +2.193 -1.631 -1.631 -1.000 +0.400 +0.400
3.720 0.000 -2.021 +1.699 -2.021 -2.021 -1.000 +0.400 +0.400
3.659 0.000 -1.731 +1.928 -1.731 -1.731 -1.000 +0.400 +0.400
3.814 0.000 -1.859 +1.955 -1.859 -1.859 -1.000 +0.400 +0.400
3.816 0.000 -1.866 +1.950 -1.866 -1.866 -1.000 +0.400 +0.400
3.689 0.000 -1.531 +2.158 -1.531 -1.531 -1.000 +0.400 +0.400
3.904 0.000 -1.724 +2.180 -1.724 -1.724 -1.000 +0.400 +0.400
3.736 0.000 -1.526 +2.210 -1.526 -1.526 -1.000 +0.400 +0.400
3.744 0.000 -1.656 +2.088 -1.656 -1.656 -1.000 +0.400 +0.400
3.854 0.000 -1.850 +2.004 -1.850 -1.850 -1.000 +0.400 +0.400
4.041 0.000 -1.901 +2.140 -1.901 -1.901 -1.000 +0.400 +0.400
3.819 0.000 -1.940 +1.879 -1.940 -1.940 -1.000 +0.400 +0.400
4.049 0.000 -1.584 +2.465 -1.584 -1.584 -1.000 +0.400 +0.400
3.814 0.000 -2.038 +1.776 +1.776 -0.400 -0.400 +1.000 +1.776
4.009 0.000 -2.460 +1.549 +1.549 -0.400 -0.400 +1.000 +1.549
3.709 0.000 -2.035 +1.674 +1.674 -0.400 -0.400 +1.000 +1.674
3.900 0.000 -1.964 +1.936 +1.936 -0.400 -0.400 +1.000 +1.936
3.774 0.000 -1.975 +1.799 +1.799 -0.400 -0.400 +1.000 +1.799
3.806 0.000 -2.163 +1.643 +1.643 -0.400 -0.400 +1.000 +1.643
4.004 0.000 -2.155 +1.849 +1.849 -0.400 -0.400 +1.000 +1.849
3.921 0.000 -2.287 +1.634 +1.634 -0.400 -0.400 +1.000 +1.634
3.711 0.000 -1.817 +1.894 +1.894 -0.400 -0.400 +1.000 +1.894
3.726 0.000 -1.732 +1.994 +1.994 -0.400 -0.400 +1.000 +1.994
3.736 0.000 -2.012 +1.724 +1.724 -0.400 -0.400 +1.000 +1.724
3.976 0.000 -2.352 +1.624 +1.624 -0.400 -0.400 +1.000 +1.624
4.124 0.000 -2.191 +1.933 +1.933 -0.400 -0.400 +1.000 +1.933
3.771 0.000 -1.803 +1.968 +1.968 -0.400 -0.400 +1.000 +1.968
3.739 0.000 -1.901 +1.838 +1.838 -0.400 -0.400 +1.000 +1.838
3.675 0.000 -1.791 +1.884 +1.884 -0.400 -0.400 +1.000 +1.884
3.817 0.000 -2.145 +1.672 +1.672 -0.400 -0.400 +1.000 +1.764
3.660 0.000 -1.896 +1.764 +1.764 -0.400 -0.400 +1.000 +1.764
